# Nstruct  Cluster  Rmsic
     1        4   0.000
     2        4   4.753
     3        4   4.244
     4        4   8.511
     5        4   5.852
     6        1   9.609
     7        1   4.279
     8        1   4.139
     9        1   4.379
    10        1   7.993
    11        1   6.199
    12        1   8.260
    13        4   6.559
    14        5   0.000
    15        5   2.499
    16        5   4.319
    17        5   3.867
    18        3   4.378
    19        3   4.389
    20        3   8.769
    21        3   7.559
    22        3   6.652
    23        1   6.706
    24        1   6.681
    25        1   6.470
    26        1   7.180
    27        1   4.072
    28        1   7.870
    29        1   7.777
    30        1   6.435
    31        1   3.202
    32        1   3.475
    33        1   4.616
    34        3   6.274
    35        3   5.307
    36        3   7.041
    37        3   0.000
    38        1   6.354
    39        1   3.619
    40        1   2.788
    41        1   5.337
    42        1   3.014
    43        1   3.002
    44        1   3.442
    45        1   3.282
    46        1   1.931
    47        1   2.187
    48        1   2.537
    49        1   4.242
    50        1   4.227
    51        1   2.715
    52        1   4.440
    53        1   5.950
    54        1   8.381
    55        1   7.595
    56        1   4.334
    57        1   3.514
    58        1   9.158
    59        4   7.279
    60        1   7.615
    61        4   6.361
    62        4   4.591
    63        4   6.085
    64        1   7.853
    65        4   6.749
    66        3   7.521
    67        1   9.536
    68        1   8.947
    69        1   7.176
    70        3   7.605
    71        3   8.040
    72        1   5.102
    73        3   8.139
    74        3   9.935
    75        3   6.953
    76        1   4.524
    77        1   3.658
    78        1   8.654
    79        1   4.116
    80        4   3.571
    81        4   6.882
    82        1   0.000
    83        1   7.890
    84       -2  12.640
    85        2   0.000
    86        2   2.050
    87        2   5.389
    88        2   3.935
    89        2   6.333
    90        2   5.178
    91        2   7.028
    92        2   4.366
    93        2   3.120
    94        2   3.976
    95        2   5.218
    96        2   5.227
    97        2   9.355
    98        2   5.555
    99        2   6.721
   100        2   2.948
