solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 -0.346941 -0.243465 -0.092801|-12.9689 25.6981 -18.9345|-1
1||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.00421098 -0.0688647 -0.428363|-7.21793 117.21 -18.914|-1
2||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 -0.0474962 0.0216801 0.430731|103.067 -69.6989 14.8733|-1
3||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 -0.0196268 -0.07532 -0.426845|-67.2298 163.91 -25.8317|-1
4||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.123274 0.220868 -0.352528|-7.26964 114.888 69.4379|-1
5||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.398314 0.0928668 0.144833|27.1377 -18.9942 -62.4541|-1
6||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.339261 0.0896639 0.255181|59.4438 -47.1233 -62.4722|-1
7||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 -0.0104097 -0.0320817 -0.432571|-8.7529 119.149 -8.62617|-1
8||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.298986 0.21478 0.229634|58.7274 -57.2431 -22.9236|-1
9||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.00688914 -0.0510156 -0.430819|-5.90282 121.804 -14.5179|-1
10||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.0164115 0.0586554 0.429587|96.4731 -63.1209 4.93279|-1
11||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 0.337267 0.0893203 0.25793|59.3923 -46.9371 -61.4067|-1
12||1 0 0 0|0 0 0|0|-1|-1|-1|0.900969 -0.0145228 -0.0745028 -0.427193|-65.6503 166.434 -26.7944|-1
